BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01460,0.21,0.21,-,-,-,-,-,-,-,-,-,-,<2,4.53,33,447,1.9,<5,>15,<1,13,26,582,1.37,1.74,20.2,63,0.99,2641,<1,0.44,30,0.04,31,0.26,<5,7.0,<10,362,0.19,46,<10,13.1,39,54.4,-,-,-
PAL01461,0.24,0.24,-,-,-,-,-,-,-,-,-,-,6,3.45,37,292,1.6,<5,>15,<1,11,40,4360,1.14,1.38,16.0,50,0.75,2844,27,0.30,28,0.03,32,0.35,<5,5.4,<10,402,0.14,37,<10,12.0,37,39.0,-,-,-
PAL01462,0.26,0.26,-,-,-,-,-,-,-,-,-,-,>10,4.70,16,161,2.1,<5,>15,<1,5,38,7125,1.20,1.86,21.0,62,0.75,2643,<1,0.40,31,0.04,13,0.25,<5,7.3,<10,279,0.20,47,<10,14.5,38,54.3,11,-,-
PAL01463,1.53,1.53,-,-,-,-,-,-,-,-,-,-,<2,0.52,<3,23,<0.5,<5,>15,<1,<1,2,10.7,0.45,0.16,3.2,9,11.5,655,<1,0.03,1,<0.01,23,0.07,<5,0.6,<10,35.4,<0.01,<2,<10,3.1,30,9.0,-,-,-
PAL01464,0.23,0.23,-,-,-,-,-,-,-,-,-,-,10,7.28,39,271,3.5,<5,>15,<1,8,49,7274,1.77,2.77,35.4,88,0.96,2591,<1,0.68,42,0.06,19,0.26,7,11.0,<10,277,0.30,73,<10,20.7,59,93.5,-,-,-
PAL01465,0.20,0.20,-,-,-,-,-,-,-,-,-,-,3,6.07,45,257,2.8,<5,12.9,<1,7,32,2555,1.43,2.17,34.3,71,0.78,2282,<1,0.67,29,0.05,27,0.13,5,9.0,<10,220,0.27,64,<10,20.1,47,91.0,-,-,-
PAL01466,0.26,0.26,-,-,-,-,-,-,-,-,-,-,>10,5.25,62,304,2.4,<5,14.9,<1,13,63,>10000,1.66,1.95,28.0,62,2.42,3251,3,0.49,38,0.04,23,1.01,7,8.1,<10,268,0.22,69,<10,16.9,58,70.2,39,3.09,-
PAL01467,0.21,0.21,-,-,-,-,-,-,-,-,-,-,>10,4.88,210,618,2.0,<5,9.20,<1,55,47,>10000,1.35,2.01,24.4,56,2.82,3008,9,0.64,59,0.04,43,0.92,6,6.1,<10,285,0.16,162,<10,14.0,67,53.9,37,2.39,-
PAL01468,0.30,0.30,-,-,-,-,-,-,-,-,-,-,<2,3.49,63,676,1.1,<5,2.25,<1,12,3,437,0.38,2.17,6.7,37,0.21,668,3,0.89,10,0.03,61,0.35,<5,1.1,<10,175,0.04,14,<10,6.6,27,21.2,-,-,-
*DUP-PAL01468,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.64,53,671,1.0,<5,2.24,<1,11,3,405,0.37,2.10,6.3,38,0.21,640,3,0.87,8,0.03,62,0.35,<5,1.1,<10,189,0.03,13,<10,6.4,28,21.6,-,-,-
PAL01469,0.31,0.31,-,-,-,-,-,-,-,-,-,-,<2,4.80,23,578,1.3,<5,1.67,<1,4,7,136,0.84,2.49,7.5,40,0.31,662,1,0.99,8,0.03,22,0.12,<5,1.4,<10,182,0.05,11,<10,5.7,18,25.8,-,-,-
PAL01470,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,3.87,22,535,1.0,<5,2.30,<1,3,6,117,0.32,2.31,6.7,34,0.26,713,1,0.75,7,0.03,23,0.27,<5,1.2,<10,162,0.04,8,<10,5.2,20,22.5,-,-,-
PAL01471,3.27,3.27,500.0,78.60,21.40,393.0,107.0,20.0,85.50,14.50,17.1,2.9,<2,3.70,24,493,1.0,<5,2.56,<1,3,12,74.0,0.48,2.19,6.1,37,0.32,618,2,0.75,6,0.03,32,0.80,<5,1.2,<10,207,0.04,8,<10,4.6,13,22.5,-,-,-
PAL01472,3.34,3.34,-,-,-,-,-,-,-,-,-,-,<2,3.57,12,529,1.1,<5,2.38,<1,2,8,64.7,0.47,2.30,6.3,40,0.42,743,<1,0.78,6,0.03,45,0.57,<5,1.2,<10,163,0.05,9,<10,4.9,16,24.5,-,-,-
PAL01473,-,-,-,-,-,-,-,-,-,-,-,-,8,7.09,822,228,1.5,<5,4.12,23,551,111,4456,5.53,1.62,19.3,19,1.97,865,172,2.37,452,0.05,4123,0.66,377,19.1,63,178,0.65,139,<10,2.9,3954,119,-,-,-
PAL01474,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,3.85,18,434,1.2,<5,1.99,<1,3,13,74.9,0.61,2.27,10.8,39,0.29,809,2,0.97,8,0.03,42,0.11,<5,1.5,<10,115,0.07,12,<10,6.5,14,40.5,-,-,-
PAL01475,1.41,1.41,-,-,-,-,-,-,-,-,-,-,<2,3.78,25,395,1.2,<5,1.83,<1,3,16,57.8,0.50,1.95,16.2,36,0.30,878,1,0.83,8,0.03,41,0.02,<5,2.1,<10,116,0.07,15,<10,7.7,13,40.6,-,-,-
PAL01476,1.07,1.07,-,-,-,-,-,-,-,-,-,-,<2,3.45,26,431,1.2,<5,2.47,<1,3,13,58.3,0.59,2.00,12.6,36,0.21,826,<1,0.68,8,0.02,16,0.02,<5,2.1,<10,123,0.06,15,<10,7.9,11,34.1,-,-,-
PAL01477,1.53,1.53,-,-,-,-,-,-,-,-,-,-,<2,4.47,18,459,1.3,<5,4.77,<1,3,15,6.8,0.57,2.40,10.3,36,0.26,1023,<1,0.99,8,0.03,21,0.02,<5,1.3,<10,145,0.05,11,<10,9.5,15,27.1,-,-,-
PAL01478,1.77,1.77,-,-,-,-,-,-,-,-,-,-,<2,4.35,13,516,1.2,<5,2.99,<1,3,20,4.7,0.83,2.58,8.4,40,0.35,734,2,0.80,10,0.04,21,0.02,<5,1.5,<10,146,0.06,12,<10,9.1,29,30.8,-,-,-
PAL01479,1.26,1.26,-,-,-,-,-,-,-,-,-,-,<2,3.52,12,405,0.9,<5,5.35,<1,2,23,3.1,0.53,2.01,9.9,34,0.27,1108,2,0.62,8,0.03,39,0.02,<5,1.6,<10,267,0.06,13,<10,11.7,21,32.7,-,-,-
PAL01480,1.29,1.29,-,-,-,-,-,-,-,-,-,-,<2,4.07,6,491,1.0,<5,3.67,<1,3,18,3.3,0.86,2.42,8.3,35,0.30,889,2,0.71,11,0.04,70,0.02,<5,1.3,<10,133,0.04,10,<10,10.0,19,29.0,-,-,-
PAL01481,1.22,1.22,-,-,-,-,-,-,-,-,-,-,<2,3.59,7,276,1.1,<5,10.1,<1,2,22,5.8,0.50,2.03,10.7,30,0.24,1143,2,0.69,9,0.04,22,0.01,<5,1.9,<10,192,0.05,13,<10,12.2,15,30.4,-,-,-
PAL01482,1.09,1.09,-,-,-,-,-,-,-,-,-,-,<2,2.18,<3,154,0.7,<5,13.2,<1,3,16,3.9,0.86,1.02,8.5,26,0.30,1311,<1,0.57,10,0.03,14,0.01,<5,1.3,<10,186,0.04,12,<10,11.1,25,20.0,-,-,-
PAL01483,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.16,<3,152,0.6,<5,13.3,<1,3,16,4.5,0.83,0.98,8.5,25,0.30,1295,1,0.56,10,0.02,33,0.01,<5,1.3,<10,182,0.04,12,<10,10.8,25,19.7,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<5,<0.001,<0.001
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.01,<3,<1,<0.5,<5,0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,3,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.77,42,183,<0.5,<5,6.69,<1,44,93,168,8.04,0.41,5.1,11,3.72,1409,<1,1.96,78,0.05,18,0.32,<5,42.0,<10,125,0.66,286,19,22.1,122,50.1,-,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.37,206,2425,2.0,6,0.49,2,4,24,550,1.68,3.12,35.6,39,0.32,99,3,1.65,15,0.07,210,0.97,31,2.9,<10,222,0.16,24,<10,10.4,256,57.3,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,0.01,<0.01,<0.5,<1,0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*STD-OREAS-601B,-,-,-,-,-,-,-,-,-,-,-,-,>10,6.71,285,1191,1.8,11,0.88,2,3,22,954,2.17,2.32,30.9,23,0.10,205,4,1.84,7,0.03,303,1.45,24,2.8,<10,234,0.12,11,<10,10.2,316,183,-,-,-
*REP-PAL01430,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.27,<3,12,<0.5,<5,>15,<1,<1,3,1.1,0.09,0.08,1.8,16,0.55,28,7,0.07,2,<0.01,6,>5,<5,<0.5,<10,1723,0.01,7,<10,0.6,3,2.5,-,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,<2,7.75,4,430,1.9,21,0.43,<1,22,70,6296,7.14,2.56,39.1,32,1.79,940,<1,0.31,35,0.06,110,0.89,<5,11.8,13,38.9,0.38,87,<10,23.7,441,103,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.80,42,181,<0.5,<5,6.57,<1,41,102,161,8.03,0.40,5.1,10,3.72,1371,1,2.14,72,0.04,17,0.32,<5,38.7,<10,127,0.65,285,19,21.9,124,49.4,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*REP-PAL01475,-,-,-,-,-,-,-,-,-,-,-,-,<2,3.86,22,396,1.2,<5,1.83,<1,3,19,62.3,0.51,1.97,14.9,37,0.30,896,1,0.83,8,0.03,40,0.02,<5,2.2,<10,119,0.07,15,<10,7.5,16,39.8,-,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.71,197,2296,2.0,7,0.48,2,4,28,550,1.65,3.04,35.8,38,0.31,96,3,1.61,15,0.07,206,0.97,29,3.1,<10,227,0.16,23,<10,10.5,254,58.5,-,-,-
*REP-PAL01402,-,-,-,-,-,-,-,-,-,-,-,-,2,3.49,42,624,1.1,<5,2.97,<1,3,11,605,0.36,2.11,13.7,24,0.23,498,2,1.12,5,0.03,26,1.07,<5,2.2,<10,294,0.08,17,<10,7.7,22,39.7,-,-,-
*REP-PAL01455,-,-,-,-,-,-,-,-,-,-,-,-,<2,2.29,11,112,0.7,<5,>15,<1,4,17,123,0.99,0.82,11.5,34,1.77,4281,<1,0.28,17,0.02,2218,1.38,<5,3.4,<10,374,0.10,23,<10,8.9,30,31.0,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-135B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0.01,2.75
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2.00,0.05
*REP-PAL01455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,3.16,1.26
*REP-PAL01400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,3.20,1.23
*REP-PAL01466,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,3.12,-
*REP-PAL01467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,2.42,-
